,0
0,0.0
1,0.5
2,0.6666666666666666
3,0.5
4,0.4
5,0.5
6,0.5714285714285714
7,0.5
8,0.5555555555555556
9,0.6000000000000001
10,0.6363636363636364
11,0.6666666666666666
12,0.6153846153846154
13,0.6428571428571428
14,0.6
15,0.625
16,0.6470588235294118
17,0.6666666666666666
18,0.6842105263157894
19,0.65
20,0.6190476190476191
21,0.6363636363636364
22,0.6086956521739131
23,0.625
24,0.64
25,0.6153846153846154
26,0.5925925925925926
27,0.5714285714285714
28,0.5517241379310345
29,0.5666666666666667
30,0.5483870967741935
31,0.53125
32,0.5454545454545454
33,0.5294117647058824
34,0.5428571428571428
35,0.5277777777777778
36,0.5135135135135136
37,0.5
38,0.5128205128205128
39,0.5
40,0.4878048780487805
41,0.47619047619047616
42,0.46511627906976744
43,0.4545454545454546
44,0.4666666666666667
45,0.45652173913043476
46,0.46808510638297873
47,0.47916666666666663
48,0.4897959183673469
49,0.48
50,0.47058823529411764
51,0.4807692307692308
52,0.4716981132075472
53,0.48148148148148145
54,0.4909090909090909
55,0.4821428571428571
56,0.47368421052631576
57,0.48275862068965514
58,0.4915254237288136
59,0.5
60,0.49180327868852464
61,0.4838709677419355
62,0.47619047619047616
63,0.484375
64,0.49230769230769234
65,0.48484848484848486
66,0.47761194029850745
67,0.4852941176470588
68,0.4782608695652174
69,0.4714285714285714
70,0.4647887323943662
71,0.4583333333333333
72,0.4657534246575342
73,0.4594594594594595
74,0.45333333333333337
75,0.4473684210526315
76,0.4545454545454546
77,0.4615384615384615
78,0.45569620253164556
79,0.4625
80,0.4691358024691358
81,0.475609756097561
82,0.46987951807228917
83,0.46428571428571425
84,0.4588235294117647
85,0.45348837209302323
86,0.45977011494252873
87,0.46590909090909094
88,0.4606741573033708
89,0.4666666666666667
90,0.46153846153846156
91,0.46739130434782605
92,0.4623655913978495
93,0.4574468085106383
94,0.4526315789473684
95,0.44791666666666663
96,0.44329896907216493
97,0.4387755102040816
98,0.4444444444444445
99,0.45
100,0.44554455445544555
101,0.4411764705882353
102,0.4466019417475728
103,0.4519230769230769
104,0.4571428571428572
105,0.46226415094339623
106,0.4579439252336448
107,0.45370370370370366
108,0.44954128440366975
109,0.44545454545454544
110,0.44144144144144143
111,0.4375
112,0.4424778761061947
113,0.4473684210526315
114,0.45217391304347826
115,0.4568965517241379
116,0.46153846153846156
117,0.4576271186440678
118,0.453781512605042
119,0.45
120,0.4462809917355372
121,0.45081967213114754
122,0.4552845528455285
123,0.45161290322580644
124,0.448
125,0.4444444444444444
126,0.4409448818897638
127,0.4375
128,0.43410852713178294
129,0.43846153846153846
130,0.4427480916030534
131,0.4393939393939394
132,0.43609022556390975
133,0.44029850746268656
134,0.43703703703703706
135,0.4338235294117647
136,0.437956204379562
137,0.43478260869565216
138,0.43165467625899284
139,0.42857142857142855
140,0.4326241134751773
141,0.4366197183098592
142,0.4405594405594406
143,0.4375
144,0.4413793103448276
145,0.4452054794520548
146,0.4489795918367347
147,0.44594594594594594
148,0.44295302013422816
149,0.44
150,0.4370860927152318
151,0.4407894736842105
152,0.4444444444444445
153,0.4415584415584416
154,0.43870967741935485
155,0.4358974358974359
156,0.4394904458598726
157,0.43670886075949367
158,0.4339622641509434
159,0.43125
160,0.42857142857142855
161,0.42592592592592593
